,air_ticker,City,State,Lat,Lng,Airport Name,airport_abbrev,Airport Address
0,EWR,New York City,New York,40.7127753,-74.0059728,Newark Liberty International Airport,Newar,"3 Brewster Rd, Newark"
1,LAX,Los Angeles,California,34.0522342,-118.2436849,Los Angeles International Airport,Los A,"1 World Way, Los Angeles"
2,ORD,Chicago,Illinois,41.8781136,-87.6297982,O'Hare International Airport,O'Har,"10000 W O'Hare Ave, Chicago"
3,HOU,Houston,Texas,29.7604267,-95.3698028,William P. Hobby Airport,Willi,"7800 Airport Blvd, Houston"
4,PHL,Philadelphia,Pennsylvania,39.9525839,-75.1652215,Philadelphia International Airport,Phila,"8000 Essington Ave, Philadelphia"
5,PHX,Phoenix,Arizona,33.4483771,-112.0740373,Phoenix Sky Harbor International Airport,Phoen,"3400 E Sky Harbor Blvd, Phoenix"
6,SAT,San Antonio,Texas,29.4241219,-98.4936282,San Antonio International Airport,San A,"9800 Airport Blvd, San Antonio"
7,SAN,San Diego,California,32.715738,-117.1610838,San Diego International Airport,San D,"3225 N Harbor Dr, San Diego"
8,DFW,Dallas,Texas,32.7766642,-96.7969879,Dallas/Fort Worth International Airport,Dalla,"2400 Aviation Dr, DFW Airport"
9,SFO,San Jose,California,37.3382082,-121.8863286,San Francisco International Airport,San F,San Francisco
10,AUS,Austin,Texas,30.267153,-97.7430608,Austin-Bergstrom International Airport,Austi,"3600 Presidential Blvd, Austin"
11,JAX,Jacksonville,Florida,30.3321838,-81.655651,Jacksonville International Airport,Jacks,"2400 Yankee Clipper Dr, Jacksonville"
12,SFO,San Francisco,California,37.7749295,-122.4194155,San Francisco International Airport,San F,San Francisco
13,IND,Indianapolis,Indiana,39.768403,-86.158068,Indianapolis International Airport,India,"7800 Col. H. Weir Cook Memorial Dr, Indianapolis"
14,SNA,Columbus,Ohio,39.9611755,-82.9987942,John Glenn Columbus International Airport,John ,"4600 International Gateway, Columbus"
15,DFW,Fort Worth,Texas,32.7554883,-97.3307658,Dallas/Fort Worth International Airport,Dalla,"2400 Aviation Dr, DFW Airport"
16,CHS,Charlotte,North Carolina,35.2270869,-80.8431267,Charlotte Douglas International Airport,Charl,"5501 Josh Birmingham Pkwy, Charlotte"
17,SEA,Seattle,Washington,47.6062095,-122.3320708,Seattle-Tacoma International Airport,Seatt,"17801 International Blvd, Seattle"
18,DEN,Denver,Colorado,39.7392358,-104.990251,Denver International Airport,Denve,"8500 Peña Blvd, Denver"
19,ELP,El Paso,Texas,31.7618778,-106.4850217,El Paso International Airport,El Pa,"6701 Convair Rd, El Paso"
20,DTW,Detroit,Michigan,42.331427,-83.0457538,Detroit Metropolitan Wayne County Airport,Detro,Detroit
21,IAD,Washington,District of Columbia,38.9071923,-77.0368707,Dulles International Airport,Dulle,"1 Saarinen Cir, Dulles"
22,BOS,Boston,Massachusetts,42.3600825,-71.0588801,Boston Logan International Airport,Bosto,"1 Harborside Dr, Boston"
23,MEM,Memphis,Tennessee,35.1495343,-90.0489801,Memphis International Airport,Memph,"2491 Winchester Rd, Memphis"
24,BNA,Nashville,Tennessee,36.1626638,-86.7816016,Nashville International Airport,Nashv,"1 Terminal Dr, Nashville"
25,PDX,Portland,Oregon,45.5230622,-122.6764815,Portland International Airport,Portl,"7000 NE Airport Way, Portland"
26,OKC,Oklahoma City,Oklahoma,35.4675602,-97.5164276,Will Rogers World Airport,Will ,"7100 Terminal Dr, Oklahoma City"
27,LAS,Las Vegas,Nevada,36.1699412,-115.1398296,McCarran International Airport,McCar,"5757 Wayne Newton Blvd, Las Vegas"
28,BWI,Baltimore,Maryland,39.2903848,-76.6121893,Baltimore/Washington International Thurgood Marshall Airport,Balti,Baltimore
29,SDF,Louisville,Kentucky,38.2526647,-85.7584557,Louisville International Airport,Louis,"600 Terminal Dr, Louisville"
30,MKE,Milwaukee,Wisconsin,43.0389025,-87.9064736,General Mitchell International Airport,Gener,"5300 S Howell Ave, Milwaukee"
31,ABQ,Albuquerque,New Mexico,35.0843859,-106.650422,Albuquerque International Sunport,Albuq,"2200 Sunport Blvd, Albuquerque"
32,TUS,Tucson,Arizona,32.2226066,-110.9747108,Tucson International Airport,Tucso,"7250 S Tucson Blvd, Tucson"
33,FAT,Fresno,California,36.7377981,-119.7871247,Fresno Yosemite International Airport,Fresn,"5175 E Clinton Way, Fresno"
34,SMF,Sacramento,California,38.5815719,-121.4943996,Sacramento International Airport,Sacra,"6900 Airport Blvd, Sacramento"
35,MCI,Kansas City,Missouri,39.0997265,-94.5785667,Kansas City International Airport,Kansa,Kansas City
36,LAX,Long Beach,California,33.7700504,-118.1937395,Los Angeles International Airport,Los A,"1 World Way, Los Angeles"
37,PHX,Mesa,Arizona,33.4151843,-111.8314724,Phoenix Sky Harbor International Airport,Phoen,"3400 E Sky Harbor Blvd, Phoenix"
38,ATL,Atlanta,Georgia,33.7489954,-84.3879824,Hartsfield-Jackson Atlanta International Airport,Harts,"6000 N Terminal Pkwy, Atlanta"
39,COS,Colorado Springs,Colorado,38.8338816,-104.8213634,Colorado Springs Airport,Color,"7770 Milton E Proby Pkwy, Colorado Springs"
40,ORF,Virginia Beach,Virginia,36.8529263,-75.977985,Norfolk International Airport,Norfo,"2200 Norview Ave, Norfolk"
41,RDU,Raleigh,North Carolina,35.7795897,-78.6381787,Raleigh-Durham International Airport,Ralei,"2400 John Brantley Blvd, Morrisville"
42,OMA,Omaha,Nebraska,41.2565369,-95.9345034,Eppley Airfield,Epple,"4501 Abbott Dr, Omaha"
43,MIA,Miami,Florida,25.7616798,-80.1917902,Miami International Airport,Miami,"2100 NW 42nd Ave, Miami"
44,SFO,Oakland,California,37.8043637,-122.2711137,San Francisco International Airport,San F,San Francisco
45,MSP,Minneapolis,Minnesota,44.977753,-93.2650108,Minneapolis−Saint Paul International Airport,Minne,Minnesota
46,TUL,Tulsa,Oklahoma,36.1539816,-95.992775,Tulsa International Airport,Tulsa,"7777 E Apache St, Tulsa"
47,ICT,Wichita,Kansas,37.6871761,-97.330053,Wichita Dwight D. Eisenhower National Airport,Wichi,"2277 Eisenhower Airport Pkwy, Wichita"
48,SDF,New Orleans,Louisiana,29.9510658,-90.0715323,Louis Armstrong New Orleans International Airport,Louis,"900 Airline Dr, Kenner"
49,DFW,Arlington,Texas,32.735687,-97.1080656,Dallas/Fort Worth International Airport,Dalla,"2400 Aviation Dr, DFW Airport"
50,CLE,Cleveland,Ohio,41.49932,-81.6943605,Cleveland Hopkins International Airport,Cleve,"5300 Riverside Dr, Cleveland"
51,BFL,Bakersfield,California,35.3732921,-119.0187125,Meadows Field Airport,Meado,"3701 Wings Way, Bakersfield"
52,TPA,Tampa,Florida,27.950575,-82.4571776,Tampa International Airport,Tampa,"4100 George J Bean Pkwy, Tampa"
53,DEN,Aurora,Colorado,39.7294319,-104.8319195,Denver International Airport,Denve,"8500 Peña Blvd, Denver"
54,HNL,Honolulu,Hawai'i,21.3069444,-157.8583333,Honolulu International Airport,Honol,"300 Rodgers Blvd, Honolulu"
55,LAX,Anaheim,California,33.8365932,-117.9143012,Los Angeles International Airport,Los A,"1 World Way, Los Angeles"
56,LAX,Santa Ana,California,33.7454725,-117.867653,Los Angeles International Airport,Los A,"1 World Way, Los Angeles"
57,CRP,Corpus Christi,Texas,27.8005828,-97.396381,Corpus Christi International Airport,Corpu,"1000 International Dr, Corpus Christi"
58,RAL,Riverside,California,33.9806005,-117.3754942,LA/Ontario International Airport,LA/On,Ontario
59,STL,St. Louis,Missouri,38.6270025,-90.1994042,St. Louis Lambert International Airport,St. L,"10701 Lambert International Blvd, St. Louis"
60,LEX,Lexington,Kentucky,38.0405837,-84.5037164,Blue Grass Airport,Blue ,"4000 Terminal Dr, Lexington"
61,SFO,Stockton,California,37.9577016,-121.2907796,San Francisco International Airport,San F,"801 E Atherton Dr, Manteca"
62,PIT,Pittsburgh,Pennsylvania,40.4406248,-79.9958864,Pittsburgh International Airport,Pitts,"1000 Airport Blvd, Pittsburgh"
63,MSP,Saint Paul,Minnesota,44.9537029,-93.0899578,Minneapolis−Saint Paul International Airport,Minne,Minnesota
64,ANC,Anchorage,Alaska,61.2180556,-149.9002778,Ted Stevens Anchorage International Airport,Ted S,"5000 W International Airport Rd, Anchorage"
65,CVG,Cincinnati,Ohio,39.1031182,-84.5120196,Cincinnati/Northern Kentucky International Airport,Cinci,"3087 Terminal Dr, Hebron"
66,LAS,Henderson,Nevada,36.0395247,-114.9817213,McCarran International Airport,McCar,"5757 Wayne Newton Blvd, Las Vegas"
67,GSO,Greensboro,North Carolina,36.0726354,-79.7919754,Piedmont Triad International Airport,Piedm,"1000 Ted Johnson Pkwy, Greensboro"
68,DFW,Plano,Texas,33.0198431,-96.6988856,Dallas/Fort Worth International Airport,Dalla,"2400 Aviation Dr, DFW Airport"
69,EWR,Newark,New Jersey,40.735657,-74.1723667,Newark Liberty International Airport,Newar,"3 Brewster Rd, Newark"
70,TOL,Toledo,Ohio,41.6528052,-83.5378674,Toledo Express Airport,Toled,"11013 Airport Hwy #11, Swanton"
71,LNK,Lincoln,Nebraska,40.813616,-96.7025955,Lincoln Airport,Linco,"2400 W Adams St, Lincoln"
72,SFB,Orlando,Florida,28.5383355,-81.3792365,Orlando International Airport,Orlan,"1 Jeff Fuqua Blvd, Orlando"
73,SAN,Chula Vista,California,32.6400541,-117.0841955,San Diego International Airport,San D,"3225 N Harbor Dr, San Diego"
74,EWR,Jersey City,New Jersey,40.7281575,-74.0776417,Newark Liberty International Airport,Newar,"3 Brewster Rd, Newark"
75,PHX,Chandler,Arizona,33.3061605,-111.8412502,Phoenix Sky Harbor International Airport,Phoen,"3400 E Sky Harbor Blvd, Phoenix"
76,FLL,Fort Wayne,Indiana,41.079273,-85.1393513,Fort Wayne International Airport,Fort ,"3801 W Ferguson Rd, Fort Wayne"
77,BUF,Buffalo,New York,42.8864468,-78.8783689,Buffalo Niagara International Airport,Buffa,"4200 Genesee St, Buffalo"
78,RDU,Durham,North Carolina,35.9940329,-78.898619,Raleigh-Durham International Airport,Ralei,"2400 John Brantley Blvd, Morrisville"
79,TPA,St. Petersburg,Florida,27.7676008,-82.6402915,Tampa International Airport,Tampa,"4100 George J Bean Pkwy, Tampa"
80,RAL,Irvine,California,33.6845673,-117.8265049,LA/Ontario International Airport,LA/On,Ontario
81,LRD,Laredo,Texas,27.5305671,-99.4803241,Laredo International Airport,Lared,"5210 Bob Bullock Loop, Laredo"
82,LBB,Lubbock,Texas,33.5778631,-101.8551665,Lubbock Preston Smith International Airport,Lubbo,"5401 N Martin L King Blvd, Lubbock"
83,MSN,Madison,Wisconsin,43.0730517,-89.4012302,Dane County Regional Airport,Dane ,"4000 International Ln, Madison"
84,PHX,Gilbert,Arizona,33.3528264,-111.789027,Phoenix Sky Harbor International Airport,Phoen,"3400 E Sky Harbor Blvd, Phoenix"
85,ORF,Norfolk,Virginia,36.8507689,-76.2858726,Norfolk International Airport,Norfo,"2200 Norview Ave, Norfolk"
86,RNO,Reno,Nevada,39.5296329,-119.8138027,Reno-Tahoe International Airport,Reno-,"2001 E Plumb Ln, Reno"
87,GSO,Winston-Salem,North Carolina,36.0998596,-80.244216,Piedmont Triad International Airport,Piedm,"1000 Ted Johnson Pkwy, Greensboro"
88,PHX,Glendale,Arizona,33.5386523,-112.1859866,Phoenix Sky Harbor International Airport,Phoen,"3400 E Sky Harbor Blvd, Phoenix"
89,MIA,Hialeah,Florida,25.8575963,-80.2781057,Miami International Airport,Miami,"2100 NW 42nd Ave, Miami"
90,DFW,Garland,Texas,32.912624,-96.6388833,Dallas/Fort Worth International Airport,Dalla,"2400 Aviation Dr, DFW Airport"
91,PHX,Scottsdale,Arizona,33.4941704,-111.9260519,Phoenix Sky Harbor International Airport,Phoen,"3400 E Sky Harbor Blvd, Phoenix"
92,DFW,Irving,Texas,32.8140177,-96.9488945,Dallas/Fort Worth International Airport,Dalla,"2400 Aviation Dr, DFW Airport"
93,ORF,Chesapeake,Virginia,36.7682088,-76.2874927,Norfolk International Airport,Norfo,"2200 Norview Ave, Norfolk"
94,LAS,North Las Vegas,Nevada,36.1988592,-115.1175013,McCarran International Airport,McCar,"5757 Wayne Newton Blvd, Las Vegas"
95,SFO,Fremont,California,37.5482697,-121.9885719,San Francisco International Airport,San F,San Francisco
96,BTR,Baton Rouge,Louisiana,30.4514677,-91.1871466,Baton Rouge Metropolitan Airport,Baton,"9430 Jackie Cochran Dr, Baton Rouge"
97,RIC,Richmond,Virginia,37.5407246,-77.4360481,Richmond International Airport,Richm,"1 Richard E Byrd Terminal Dr, Richmond"
98,1S1,Boise,Idaho,43.6187102,-116.2146068,Eckhart International Airport-1S1,Eckha,"County Rd 46, Boise"
99,RAL,San Bernardino,California,34.1083449,-117.2897652,LA/Ontario International Airport,LA/On,Ontario
,CLT,,,35.21389,-80.943054,Charlotte/Douglas International Airport,,
,LGA,,,40.7769271,-73.8739659,La Guardia Airport,,
,IAH,,,29.9902199,-95.3367827,Bush Intercontinental Airport,,
,MCO,,,28.4311577,-81.308083,Orlando International Airport,,
,DCA,,,38.8512,77.0402,Ronald Reagan Washington National Airport,,
,JFK,,,40.6413,73.7781,John F. Kennedy International Airport,,
,MDW,,,41.7868,87.7522,Chicago Midway Airport,,