Code,Name,City,State
ANB,Anniston Municipal Airport,Anniston,AL
ASN,Talladega Municipal Airport,Talladega,AL
BHM,Birmingham International Airport,Birmingham,AL
DHN,Dothan Regional Airport,Dothan,AL
HSV,Huntsville International Airport,Huntsville,AL
MGM,Montgomery Regional Airport,Montgomery,AL
MOB,Mobile Regional Airport,Mobile,AL
MSL,Northwest Alabama Regional Airport,Muscle Shoals,AL
TCL,Tuscaloosa Regional Airport,Tuscaloosa,AL
BFM,Mobile Downtown Airport,Mobile,AL
0AK,Pilot Station Airport,Pilot Station,AK
16A,Nunapitchuk Airport,Nunapitchuk,AK
2A3,Larsen Bay Airport,Larsen Bay,AK
2A9,Kotlik Airport,Kotlik,AK
3A5,Marshall Don Hunter Sr,Marshall,AK
6R7,Old Harbor Airport,Old Harbor,AK
A61,Tuntutuliak Airport,Tuntutuliak,AK
A85,Kwigillingok Airport,Kwigillingok,AK
ADK,Adak Airport,Adak Island,AK
ADQ,Kodiak Airport,Kodiak,AK
AFM,Ambler Airport,Ambler,AK
AGN,Angoon Seaplane Base,Angoon,AK
AKN,King Salmon Airport,King Salmon,AK
AKP,Anaktuvuk Pass Airport,Anaktuvuk Pass,AK
AKW,Klawock Airport,Klawock,AK
ANC,Anchorage International Airport,Anchorage,AK
ANI,Aniak Airport,Aniak,AK
AQH,Quinhagak Airport,Quinhagak,AK
AQT,Nuiqsut Airport,Nuiqsut,AK
ATK,Atqasuk Edward Burnell Sr Memorial Airport,Atqasuk,AK
AUK,Alakanuk Airport,Alakanuk,AK
AWI,Wainwright Airport,Wainwright,AK
BET,Bethel Airport,Bethel,AK
BIG,Allen Aaf Airport,Delta Junction Ft Greely,AK
BRW,Wiley Post-Will Rogers Memorial Airport,Barrow,AK
BTI,Barter Island LRRS Airport,Kaktovik,AK
BVK,Buckland Airport,Buckland,AK
CDB,Cold Bay Airport,Cold Bay,AK
CDV,Cordova Municipal Airport,Cordova,AK
CFK,Chefornak Airport,Chefornak,AK
CGA,Craig Airport,Craig,AK
D76,Robert (Bob) Curtis Memorial Airport,Noorvik,AK
DLG,Dillingham Airport,Dillingham,AK
DUT,Unalaska Airport,Unalaska,AK
DUY,Kongiganak Airport,Kongiganak,AK
EEK,Eek Airport,Eek,AK
ELI,Elim Airport,Elim,AK
ENA,Kenai Municipal Airport,Kenai,AK
ENM,Emmonak Airport,Emmonak,AK
EWU,Newtok Airport,Newtok,AK
FAI,Fairbanks International Airport,Fairbanks,AK
FYU,Fort Yukon Airport,Fort Yukon,AK
GAL,Edward G. Pitka Sr Airport,Galena,AK
GAM,Gambell Airport,Gambell,AK
GBH,Galbraith Lake Airport,Galbraith Lake,AK
GGV,Kwigillingok Airport,Kwigillingok,AK
GKN,Gulkana Airport,Gulkana,AK
GST,Gustavus Airport,Gustavus,AK
HLA,Huslia Airport,Huslia,AK
HNH,Hoonah Airport,Hoonah,AK
HNS,Haines Airport,Haines,AK
HOM,Homer Airport,Homer,AK
HPB,Hooper Bay Airport,Hooper Bay,AK
HSL,Huslia Airport,Huslia,AK
HYL,Hollis Seaplane Base,Hollis,AK
IAN,Bob Baker Memorial Airport,Kiana,AK
IIK,Kipnuk Airport,Kipnuk,AK
ILI,Iliamna Airport,Iliamna,AK
JNU,Juneau International Airport,Juneau,AK
KAE,Kake Airport,Kake,AK
KAL,Kaltag Airport,Kaltag,AK
KDK,Kodiak Municipal Airport,Kodiak,AK
KEB,English Bay Airport,English Bay,AK
KKA,Koyuk Airport,Koyuk,AK
KLG,Kalskag Airport,Kalskag,AK
KSM,St Mary's Airport,St Mary's,AK
KTB,Thorne Bay Airport,Thorne Bay,AK
KTN,Ketchikan International Airport,Ketchikan,AK
KVC,King Cove Airport,King Cove,AK
KVL,Kivalina Airport,Kivalina,AK
KWT,Kwethluk Airport,Kwethluk,AK
LHD,Lake Hood Airport,Anchorage,AK
MBA,Manokotak Airport,Manokotak,AK
MCG,McGrath Airport,McGrath,AK
MDM,Marshall Don Hunter Sr Airport,Marshall,AK
MLL,Marshall Airport,Marshall,AK
MOU,Mountain Village Airport,Mountain Village,AK
MRI,Merrill Field,Anchorage,AK
MTM,Metlakatla Airport,Metlakatla,AK
N93,Golovin Airport,Golovin,AK
NUL,Nulato Airport,Nulato,AK
OME,Nome Airport,Nome,AK
OOK,Toksook Bay Airport,Toksook Bay,AK
ORI,Port Lions Airport,Port Lions,AK
ORV,Robert (Bob) Curtis Memorial Airport,Noorvik,AK
OTZ,Ralph Wien Memorial Airport,Kotzebue,AK
PGM,Port Graham Airport,Port Graham,AK
PHO,Point Hope Airport,Point Hope,AK
PPC,Prospect Creek Airport,Prospect Creek,AK
PSG,Petersburg Airport,Petersburg,AK
PTH,Port Heiden Airport,Port Heiden,AK
RSH,Russian Mission Airport,Russian Mission,AK
SCC,Deadhorse Airport,Deadhorse,AK
SCM,Scammon Bay Airport,Scammon Bay,AK
SDP,Sand Point Airport,Sand Point,AK
SGY,Skagway Airport,Skagway,AK
SHG,Shungnak Airport,Shungnak,AK
SHH,Shishmaref Airport,Shishmaref,AK
SIT,Sitka Rocky Gutierrez Airport,Sitka,AK
SNP,Saint Paul Island Airport,St Paul Island,AK
SOV,Seldovia Airport,Seldovia,AK
SVA,Savoonga Airport,Savoonga,AK
T44,Trident Basin Seaplane Base,Kodiak,AK
TAL,Ralph M Calhoun Memorial Airport,Tanana,AK
TLT,Tuluksak Airport,Tuluksak,AK
TOG,Togiak Airport,Togiak Village,AK
UNK,Unalakleet Airport,Unalakleet,AK
VAK,Chevak Airport,Chevak,AK
VDZ,Valdez Pioneer Field,Valdez,AK
WBB,Stebbins Airport,Stebbins,AK
WLK,Selawik Airport,Selawik,AK
WNA,Napakiak Airport,Napakiak,AK
WRG,Wrangell Airport,Wrangell,AK
WTK,Noatak Airport,Noatak,AK
YAK,Yakutat Airport,Yakutat,AK
Z09,Kasigluk Airport,Kasigluk,AK
1G4,Grand Canyon West Airport,Peach Springs,AZ
DVT,Deer Valley Municipal Airport,Phoenix,AZ
FHU,Sierra Vista Municipal Airport,Fort Huachuca / Sierra Vista,AZ
FLG,Flagstaff Pulliam Airport,Flagstaff,AZ
GCN,Grand Canyon National Park Airport,Grand Canyon,AZ
GYR,Phoenix Goodyear Airport,Goodyear,AZ
HII,Lake Havasu City Airport,Lake Havasu City,AZ
IFP,Laughlin/Bullhead International Airport,Bullhead City,AZ
IGM,Kingman Airport,Kingman,AZ
IWA,Williams Gateway Airport,Mesa,AZ
MZJ,Pinal Airpark,Marana,AZ
PGA,Page Municipal Airport,Page,AZ
PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ
PRC,Ernest A. Love Field Airport,Prescott,AZ
SOW,Show Low Regional Airport,Show Low,AZ
TUS,Tucson International Airport,Tucson,AZ
YUM,Yuma International Airport,Yuma,AZ
AZA,"Phoenix, AZ: Phoenix - Mesa Gateway",Mesa,AZ
BPK,Baxter County Regional Airport,Mountain Home,AR
FSM,Fort Smith Airport,Fort Smith,AR
FYV,Drake Field,Fayetteville,AR
HOT,Memorial Field Airport,Hot Springs,AR
HRO,Boone County Airport,Harrison,AR
JBR,Jonesboro Municipal Airport,Jonesboro,AR
LIT,Little Rock National Airport,Little Rock,AR
TXK,Texarkana Regional Airport,Texarkana,AR
XNA,Northwest Arkansas Regional Airport,Fayetteville / Springdale,AR
ACV,Arcata Airport,Arcata/Eureka,CA
BFL,Meadows Field Airport,Bakersfield,CA
BUR,Burbank Bob Hope Airport,Burbank,CA
CCR,Buchanan Field Airport,Concord,CA
CEC,Jack Mc Namara Field Airport,Crescent City,CA
CIC,Chico Municipal Airport,Chico,CA
CRQ,Mc Clellan-Palomar Airport,Carlsbad,CA
FAT,Fresno Air Terminal,Fresno,CA
IPL,Imperial County Airport,Imperial,CA
IYK,Inyokern Airport,Inyokern,CA
LAX,Los Angeles International Airport,Los Angeles,CA
LGB,Long Beach Airport,Long Beach,CA
MCC,Mc Clellan Airfield,Sacramento,CA
MCE,Merced Municipal Airport,Merced,CA
MMH,Mammoth Yosemite Airport,Mammoth Lakes,CA
MOD,Modesto City-County Airport,Modesto,CA
MRY,Monterey Peninsula Airport,Monterey,CA
OAK,Oakland International Airport,Oakland,CA
ONT,Ontario International Airport,Ontario,CA
OXR,Oxnard Airport,Oxnard,CA
PMD,Palmdale Regional Airport,Palmdale,CA
PRB,Paso Robles Municipal Airport,Paso Robles,CA
PSP,Palm Springs International Airport,Palm Springs,CA
RDD,Redding Municipal Airport,Redding,CA
SAN,San Diego International Airport,San Diego,CA
SBA,Santa Barbara Airport,Santa Barbara,CA
SBD,San Bernardino International Airport,San Bernardino,CA
SBP,San Luis County Regional Airport,San Luis Obispo,CA
SCK,Stockton Metropolitan Airport,Stockton,CA
SFO,San Francisco International Airport,San Francisco,CA
SJC,San Jose International Airport,San Jose,CA
SMF,Sacramento International Airport,Sacramento,CA
SMX,Santa Maria Public Airport,Santa Maria,CA
SNA,John Wayne Airport,Orange County,CA
STS,Sonoma County Airport,Santa Rosa,CA
TVL,Lake Tahoe Airport,South Lake Tahoe,CA
VCV,Southern California Logistics Airport,Victorville,CA
VIS,Visalia Municipal Airport,Visalia,CA
ALS,San Luis Valley Regional Airport,Alamosa,CO
ASE,Aspen-Pitkin County Airport,Aspen,CO
CEZ,Cortez Municipal Airport,Cortez,CO
COS,Colorado Springs Airport,Colorado Springs,CO
DEN,Denver International Airport,Denver,CO
DRO,Durango-La Plata County Airport,Durango,CO
EGE,Eagle County Regional Airport,Eagle,CO
FNL,Fort Collins-Loveland Municipal Airport,Fort Collins / Loveland,CO
GJT,Walker Field Airport,Grand Junction,CO
GUC,Gunnison-Crested Butte Regional Airport,Gunnison,CO
HDN,Yampa Valley Regional Airport,Hayden,CO
LAA,Lamar Municipal Airport,Lamar,CO
MTJ,Montrose Regional Airport,Montrose,CO
PUB,Pueblo Memorial Airport,Pueblo,CO
TEX,Telluride Regional Airport,Telluride,CO
BDL,Bradley International Airport,Windsor Locks,CT
BDR,Igor I Sikorsky Memorial Airport,Bridgeport,CT
DXR,Danbury Municipal Airport,Danbury,CT
GON,Groton-New London Airport,Groton (New London),CT
HFD,Hartford-Brainard Airport,Hartford,CT
HVN,Tweed New Haven Regional Airport,New Haven,CT
OXC,Waterbury-Oxford Airport,Oxford,CT
GED,Sussex County Airport,Georgetown,DE
ILG,New Castle Airport,Wilmington,DE
APF,Naples Municipal Airport,Naples,FL
DAB,Daytona Beach International Airport,Daytona Beach,FL
EYW,Key West International Airport,Key West,FL
FLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,FL
GNV,Gainesville Regional Airport,Gainesville,FL
JAX,Jacksonville International Airport,Jacksonville,FL
LAL,Lakeland Linder Regional Airport,Lakeland,FL
MCO,Orlando International Airport,Orlando,FL
MIA,Miami International Airport,Miami,FL
MLB,Melbourne International Airport,Melbourne,FL
MTH,Florida Keys Marathon Airport,Marathon,FL
OCF,Ocala International Airport,Ocala,FL
PBI,Palm Beach International Airport,West Palm Beach,FL
PFN,Panama City-Bay County International Airport,Panama City,FL
PGD,Charlotte County Airport,Punta Gorda,FL
PIE,St. Petersburg-Clearwater International Airport,Saint Petersburg,FL
PNS,Pensacola Regional Airport,Pensacola,FL
RSW,Southwest Florida International Airport,Fort Myers,FL
SFB,Orlando Sanford International Airport,Sanford,FL
SGJ,St Augustine Airport,St Augustine,FL
SRQ,Sarasota-Bradenton International Airport,Sarasota,FL
TIX,Space Coast Regional Airport,Titusville,FL
TLH,Tallahassee Regional Airport,Tallahassee,FL
TPA,Tampa International Airport,Tampa,FL
VPS,Fort Walton Beach Airport,Valparaiso,FL
VQQ,Cecil Field Airport,Jacksonville,FL
VRB,Vero Beach Municipal Airport,Vero Beach,FL
X44,Miami Airport,Miami,FL
ECP,"Panama City, FL: Northwest Florida Beaches International",Panama City,FL
ABY,Southwest Georgia Regional Airport,Albany,GA
AGS,Augusta Regional Airport,Augusta,GA
AHN,Athens/Ben Epps Airport,Athens,GA
ATL,Atlanta International Airport,Atlanta,GA
BQK,Brunswick Golden Isles Airport,Brunswick,GA
CSG,Columbus Metropolitan Airport,Columbus,GA
MCN,Middle Georgia Regional Airport,Macon,GA
RMG,Richard B Russell Airport,Rome,GA
SAV,Savannah/Hilton Head International Airport,Savannah,GA
VLD,Valdosta Regional Airport,Valdosta,GA
HNL,Honolulu International Airport,Honolulu,HI
HNM,Hana Airport,Hana,HI
ITO,Hilo International Airport,Hilo,HI
KOA,Kona International Airport,Keahole,HI
LIH,Lihue Airport,Lihue,HI
LNY,Lanai Airport,Lanai City,HI
MKK,Molokai Airport,Kaunakakai,HI
MUE,Waimea - Kohala Airport,Kamuela,HI
OGG,Kahului Airport,Kahului,HI
BOI,Boise Airport,Boise,ID
COE,Coeur D'alene Airport,Coeur D'alene,ID
IDA,Idaho Falls Regional Airport,Idaho Falls,ID
LWS,Lewiston-Nez Perce County Airport,Lewiston,ID
PIH,Pocatello Regional Airport,Pocatello,ID
SUN,Friedman Memorial Airport,Hailey,ID
TWF,Magic Valley Regional Airport,Twin Falls,ID
ALN,St Louis Regional Airport,Alton/St Louis,IL
BLV,Midamerica Airport,Belleville,IL
BMI,Central Illinois Regional Airport,Bloomington,IL
CGX,Merrill C Meigs Field,Chicago,IL
CMI,Champaign Willard Airport,Champaign,IL
DEC,Decatur Airport,Decatur,IL
DNV,Vermilion County Airport,Danville,IL
MDH,Southern Illinois Airport,Carbondale / Murphysboro,IL
MDW,Chicago Midway Airport,Chicago,IL
MLI,Quad City International Airport,Moline,IL
MTO,Coles County Memorial Airport,Mattoon/Charleston,IL
MVN,Mount Vernon Airport,Mount Vernon,IL
MWA,Williamson County Regional Airport,Marion,IL
ORD,Chicago O'hare International Airport,Chicago,IL
PIA,Peoria Regional Airport,Peoria,IL
RFD,Greater Rockford Airport,Rockford,IL
SPI,Abraham Lincoln Capital Airport,Springfield,IL
SQI,Whiteside County Airport,Sterling/Rockfalls,IL
UIN,Quincy Regional Airport - Baldwin Field,Quincy,IL
AID,Anderson Municipal Airport,Anderson,IN
BAK,Columbus Municipal Airport,Columbus,IN
BMG,Monroe County Airport,Bloomington,IN
EKM,Elkhart Municipal Airport,Elkhart,IN
EVV,Evansville Regional Airport,Evansville,IN
FWA,Fort Wayne International Airport,Fort Wayne,IN
GYY,Gary Regional Airport,Gary,IN
HUF,Terre Haute International Airport,Terre Haute,IN
IND,Indianapolis International Airport,Indianapolis,IN
LAF,Purdue University Airport,Lafayette,IN
MIE,Delaware County Airport,Muncie,IN
MQJ,Mount Comfort Airport,Indianapolis,IN
SBN,South Bend Regional Airport,South Bend,IN
VPZ,Porter County Municipal Airport,Valparaiso,IN
ALO,Waterloo Regional Airport,Waterloo,IA
BRL,Southeast Iowa Regional Airport,Burlington,IA
CID,Cedar Rapids Eastern Iowa Airport,Cedar Rapids,IA
CWI,Clinton Municipal Airport,Clinton,IA
DBQ,Dubuque Regional Airport,Dubuque,IA
DSM,Des Moines International Airport,Des Moines,IA
FOD,Fort Dodge Regional Airport,Fort Dodge,IA
MCW,Mason City Municipal Airport,Mason City,IA
OTM,Ottumwa Industrial Airport,Ottumwa,IA
SUX,Sioux Gateway Airport,Sioux City,IA
DDC,Dodge City Regional Airport,Dodge City,KS
FOE,Forbes Field Airport,Topeka,KS
GBD,Great Bend Municipal Airport,Great Bend,KS
GCK,Garden City Regional Airport,Garden City,KS
GLD,Goodland Municipal Airport,Goodland,KS
HUT,Hutchinson Municipal Airport,Hutchinson,KS
HYS,Hays Regional Airport,Hays,KS
ICT,Wichita Mid-Continent Airport,Wichita,KS
IXD,Olathe/New Century Aircenter Airport,Olathe,KS
LBL,Liberal Municipal Airport,Liberal,KS
MHK,Manhattan Regional Airport,Manhattan,KS
SLN,Salina Municipal Airport,Salina,KS
BWG,Bowling Green-Warren County Regional Airport,Bowling Green,KY
LEX,Blue Grass Airport,Lexington,KY
OWB,Owensboro-Daviess County Airport,Owensboro,KY
PAH,Paducah Barkley Regional Airport,Paducah,KY
SDF,Louisville International Airport,Louisville,KY
AEX,Alexandria International Airport,Alexandria,LA
BTR,Baton Rouge International Airport,Baton Rouge,LA
ESF,Esler Regional Airport,Alexandria,LA
LCH,Lake Charles Regional Airport,Lake Charles,LA
LFT,Lafayette Regional Airport,Lafayette,LA
MLU,Monroe Regional Airport,Monroe,LA
MSY,New Orleans International Airport,New Orleans,LA
NEW,Lakefront Airport,New Orleans,LA
SHV,Shreveport Regional Airport,Shreveport,LA
TVR,Vicksburg Tallulah Regional Airport,"Tallulah/Vicksburg, Mississippi",LA
AUG,Augusta State Airport,Augusta,ME
BGR,Bangor International Airport,Bangor,ME
BHB,Hancock County-Bar Harbor Airport,Bar Harbor,ME
PQI,Northern Maine Regional Airport,Presque Isle,ME
PWM,Portland International Jetport,Portland,ME
RKD,Knox County Regional Airport,Rockland,ME
BWI,Baltimore / Washington International Airport,BWI Airport,MD
HGR,Hagerstown Regional Airport,Hagerstown,MD
SBY,Salisbury-Ocean City Wicomico Regional Airport,Salisbury,MD
ACK,Nantucket Memorial Airport,Nantucket,MA
BAF,Barnes Municipal Airport,Westfield/Springfield,MA
BED,Bedford Hanscom Field,Bedford,MA
BOS,Boston Logan International Airport,Boston,MA
CEF,Westover Metropolitan Airport,Springfield/Chicopee,MA
EWB,New Bedford Regional Airport,New Bedford,MA
HYA,Barnstable Municipal Airport,Hyannis,MA
MVY,Martha's Vineyard Airport,Vineyard Haven,MA
ORH,Worcester Regional Airport,Worcester,MA
PVC,Provincetown Municipal Airport,Provincetown,MA
ACB,Bellaire/Antrim County Airport,Bellaire,MI
APN,Alpena County Regional Airport,Alpena,MI
AZO,Kalamazoo/Battle Creek International Airport,Kalamazoo,MI
BEH,Southwest Michigan Regional Airport,Benton Harbor,MI
BTL,W K Kellogg Airport,Battle Creek,MI
CIU,Chippewa County International Airport,Sault Ste Marie,MI
CMX,Houghton County Memorial Airport,Hancock,MI
CVX,Charlevoix Municipal Airport,Charlevoix,MI
DET,Detroit City Airport,Detroit,MI
DTW,Detroit Metro Airport,Detroit,MI
ESC,Delta County Airport,Escanaba,MI
FNT,Bishop International Airport,Flint,MI
GLR,Gaylord Regional Airport,Gaylord,MI
GRR,Gerald R. Ford International Airport,Grand Rapids,MI
IMT,Iron Mountain Airport,Iron Mountain / Kingsford,MI
IWD,Gogebic-Iron County Airport,Ironwood,MI
JXN,Jackson County Airport,Jackson,MI
